"","vuQrLzvK","XzxOZkAn","esHWAAyG","ldnyeZwD","xjTIGPgB","UEaRhdUa","yyoCYPtc","TbDUmaHA","BjWMmVMX","gmjAuMKF","poor"
"1",0.676271186810811,"OYPbi",-0.0933656555045283,-0.183649024613663,"iaGmu","xyYit","CMKEH","QHiPm","mqcBm","vCMht","False"
"2",1.02274951236856,"OYPbi",0.887907383848064,-0.81587131885871,"iaGmu","cYCMU","JPAUs","GHRZs","PJanL","VPQpf","False"
"3",1.09204517748011,"OYPbi",-0.0933656555045283,-0.183649024613663,"iaGmu","cYCMU","CMKEH","QHiPm","PJanL","vCMht","False"
"4",-1.1392752391118,"NSjXr",-0.0933656555045283,1.08079556387643,"iaGmu","xyYit","CMKEH","QHiPm","mqcBm","vCMht","False"
"6",-0.224572459639341,"OYPbi",0.887907383848064,0.448573269631384,"iaGmu","xyYit","CMKEH","QHiPm","mqcBm","VPQpf","False"
"7",0.46838419147616,"OYPbi",0.887907383848064,-0.183649024613663,"iaGmu","cYCMU","CMKEH","QHiPm","PJanL","vCMht","False"
"8",-1.90152755533885,"OYPbi",-0.0933656555045283,-0.81587131885871,"iaGmu","xyYit","CMKEH","QHiPm","mqcBm","vCMht","False"
"9",0.32979286125306,"OYPbi",0.887907383848064,-0.183649024613663,"iaGmu","xyYit","CMKEH","QHiPm","mqcBm","vCMht","False"
"10",1.29993217281476,"OYPbi",0.887907383848064,0.448573269631384,"iaGmu","cYCMU","CMKEH","GHRZs","mqcBm","vCMht","False"
"11",0.26049719614151,"OYPbi",-0.0933656555045283,1.08079556387643,"iaGmu","xyYit","CMKEH","QHiPm","mqcBm","vCMht","False"
"12",-1.8322318902273,"OYPbi",-0.0933656555045283,-0.183649024613663,"iaGmu","xyYit","CMKEH","QHiPm","mqcBm","vCMht","False"
"13",-1.34716223444645,"OYPbi",0.887907383848064,-0.183649024613663,"iaGmu","xyYit","CMKEH","QHiPm","PJanL","vCMht","False"
"14",-0.446318587996301,"OYPbi",-0.0933656555045283,-0.81587131885871,"iaGmu","RHnTH","JPAUs","QHiPm","PJanL","vCMht","True"
"15",0.884158182145461,"OYPbi",-0.0933656555045283,-0.183649024613663,"iaGmu","xyYit","CMKEH","QHiPm","mqcBm","vCMht","False"
"16",0.32979286125306,"OYPbi",-0.0933656555045283,-0.81587131885871,"iaGmu","xyYit","CMKEH","QHiPm","mqcBm","vCMht","False"
"17",-1.1392752391118,"OYPbi",-0.0933656555045283,-0.183649024613663,"iaGmu","xyYit","CMKEH","QHiPm","mqcBm","vCMht","False"
"18",0.593116388676951,"NSjXr",0.887907383848064,-0.81587131885871,"iaGmu","cYCMU","JPAUs","QHiPm","PJanL","VPQpf","False"
"19",-0.155276794527791,"OYPbi",-0.0933656555045283,0.448573269631384,"iaGmu","kZxnZ","JPAUs","GHRZs","sJktS","VPQpf","False"
"20",-1.34716223444645,"OYPbi",-1.07463869485712,-0.81587131885871,"iaGmu","xyYit","CMKEH","GHRZs","mqcBm","VPQpf","False"
"21",0.745566851922361,"OYPbi",0.887907383848064,-0.183649024613663,"iaGmu","xyYit","CMKEH","QHiPm","mqcBm","vCMht","False"
"22",0.745566851922361,"OYPbi",0.887907383848064,-0.183649024613663,"iaGmu","xyYit","CMKEH","GHRZs","mqcBm","VPQpf","False"
"23",1.09204517748011,"OYPbi",-0.0933656555045283,-0.183649024613663,"iaGmu","cYCMU","CMKEH","GHRZs","mqcBm","VPQpf","False"
"24",1.09204517748011,"OYPbi",-0.0933656555045283,-0.81587131885871,"iaGmu","xyYit","CMKEH","GHRZs","mqcBm","VPQpf","False"
"25",-1.8322318902273,"OYPbi",-0.0933656555045283,0.448573269631384,"iaGmu","cYCMU","CMKEH","GHRZs","mqcBm","VPQpf","False"
"26",0.745566851922361,"OYPbi",0.887907383848064,-0.183649024613663,"iaGmu","xyYit","CMKEH","QHiPm","mqcBm","vCMht","False"
"27",0.676271186810811,"OYPbi",-1.07463869485712,-0.183649024613663,"iaGmu","cYCMU","JPAUs","QHiPm","PJanL","vCMht","False"
"28",0.953453847257011,"OYPbi",-0.0933656555045283,2.34524015236652,"iaGmu","xyYit","CMKEH","QHiPm","mqcBm","vCMht","False"
"29",0.814862517033911,"NSjXr",-0.0933656555045283,-0.183649024613663,"iaGmu","cYCMU","CMKEH","GHRZs","PJanL","VPQpf","False"
"30",0.0526102008068597,"OYPbi",0.887907383848064,-1.44809361310376,"YpxSr","kZxnZ","JPAUs","QHiPm","sJktS","VPQpf","False"
"31",1.02274951236856,"OYPbi",-0.0933656555045283,0.448573269631384,"iaGmu","xyYit","CMKEH","QHiPm","PJanL","vCMht","False"
"32",-1.48575356466955,"OYPbi",0.887907383848064,-0.183649024613663,"iaGmu","xyYit","CMKEH","QHiPm","mqcBm","vCMht","False"
"33",-1.416457899558,"OYPbi",-0.0933656555045283,-1.44809361310376,"iaGmu","xyYit","CMKEH","QHiPm","mqcBm","vCMht","False"
"34",-1.6936405600042,"OYPbi",-0.0933656555045283,0.448573269631384,"iaGmu","xyYit","CMKEH","QHiPm","PJanL","vCMht","False"
"35",1.50781916814941,"OYPbi",-0.0933656555045283,-0.183649024613663,"iaGmu","xyYit","CMKEH","QHiPm","mqcBm","vCMht","False"
"36",0.606975521699261,"OYPbi",-0.0933656555045283,-0.81587131885871,"iaGmu","xyYit","CMKEH","QHiPm","mqcBm","vCMht","False"
"37",0.32979286125306,"OYPbi",-0.0933656555045283,-0.183649024613663,"iaGmu","cYCMU","CMKEH","GHRZs","mqcBm","vCMht","False"
